"Save Rate","Save Rate"
"Save","Save"
"Ship order(s) with Royal Mail.","Ship order(s) with Royal Mail."
"Royal Mail Transactions","Royal Mail Transactions"
Back,Back
"Delete Rate","Delete Rate"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Royal Mail","Royal Mail"
Manifest,Manifest
"Create Manifest","Create Manifest"
Manifests,Manifests
"We can't create manifest right now.","We can't create manifest right now."
"Manifest created successfully. Batch # %1.","Manifest created successfully. Batch # %1."
"Invalid manifest batch number.","Invalid manifest batch number."
"Manifest print generated successfully for batch # %1.","Manifest print generated successfully for batch # %1."
"Manifest print already generated.","Manifest print already generated."
"Invalid record.","Invalid record."
"Royal Mail Manifests","Royal Mail Manifests"
"There are no shipping labels related to selected orders.","There are no shipping labels related to selected orders."
"Mass Shipment","Mass Shipment"
"Shipping orders with Royal Mail.","Shipping orders with Royal Mail."
"Please select at least one order.","Please select at least one order."
"You have selected too many orders. Please select at most %d orders at a time.","You have selected too many orders. Please select at most %d orders at a time."
"The shipment has been created.","The shipment has been created."
"Order id %1 no longer exists.","Order id %1 no longer exists."
"Shipping Rates","Shipping Rates"
"This rate no longer exists.","This rate no longer exists."
"Edit Rate","Edit Rate"
"New Rate","New Rate"
Rates,Rates
"Royal Mail Rates","Royal Mail Rates"
"You saved the rate.","You saved the rate."
"Something went wrong while saving the rate.","Something went wrong while saving the rate."
"Royal Mail Service Matrix","Royal Mail Service Matrix"
"Royal Mail Shipments","Royal Mail Shipments"
"We can't save the shipment right now.","We can't save the shipment right now."
"Shipping completed successfully.","Shipping completed successfully."
"Shipment id %1 no longer exists.","Shipment id %1 no longer exists."
"You can not cancel transaction with status %1.","You can not cancel transaction with status %1."
"You can not cancel this transaction.","You can not cancel this transaction."
"The Shipment number #%1 canceled and tracking deleted from shipment.","The Shipment number #%1 canceled and tracking deleted from shipment."
"Record no longer exists.","Record no longer exists."
"The PDF generated successfully for the shipment #%1.","The PDF generated successfully for the shipment #%1."
"Insufficient parameter to create transaction.","Insufficient parameter to create transaction."
"Record no longer exists to generate label.","Record no longer exists to generate label."
"The shipping module is not available.","The shipping module is not available."
"This shipping method is not available. Please specify the zip code.","This shipping method is not available. Please specify the zip code."
"This shipping method is not available, please specify valid ZIP-code.","This shipping method is not available, please specify valid ZIP-code."
"Please specify gateway URL.","Please specify gateway URL."
"RoyalMail shipping is inactive.","RoyalMail shipping is inactive."
"Please specify RoyalMail Shipping API access credentials and try again.","Please specify RoyalMail Shipping API access credentials and try again."
"Royal Mail shipping module is not active.","Royal Mail shipping module is not active."
"Request to RoyalMail throttled. Please try after some time.","Request to RoyalMail throttled. Please try after some time."
"Unable to fetch API response.","Unable to fetch API response."
"Unable to fetch API response. Please try again.","Unable to fetch API response. Please try again."
delivery_type,delivery_type
"No container specified. Please make sure used containers are selected in RoyalMail configuration.","No container specified. Please make sure used containers are selected in RoyalMail configuration."
"Function exec() is not available. Unable to generate Zend_Pdf compatible label.","Function exec() is not available. Unable to generate Zend_Pdf compatible label."
"Please specify package weight.","Please specify package weight."
"Shipment or Shipment Number not found.","Shipment or Shipment Number not found."
"Shipment number not found to prepare cancel request.","Shipment number not found to prepare cancel request."
"Invalid order.","Invalid order."
"Can not do shipment for the order.","Can not do shipment for the order."
"Unable to find container type for service %1.","Unable to find container type for service %1."
"Container type is invalid for service %1.","Container type is invalid for service %1."
"Invalid shipment.","Invalid shipment."
"Shipment already has tracking.","Shipment already has tracking."
"Royal Mail 24 / 1st Class","Royal Mail 24 / 1st Class"
"Royal Mail 48 / 2nd Class","Royal Mail 48 / 2nd Class"
"Special Delivery Guaranteed","Special Delivery Guaranteed"
"HM Forces (BFPO)","HM Forces (BFPO)"
International,International
"Tracked Returns","Tracked Returns"
"Royal Mail Tracked","Royal Mail Tracked"
